title,url,offered_by,level,type,amount,eligibility,deadline,deadline_date,area,application_link,summary,scraped_at
NTS Announced Need Based Scholarship Program for NTS Associated Universities/ Institutions,https://www.eduvision.edu.pk/scholarships/nts-announced-need-based-scholarship-program-for-nts-associated-universities-institutions-scholar-122,,"Bachelor, Intermediate, Matric, PhD",Merit & Need Based,,,N.A Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD,,All Pakistan,,National Testing Service (NTS) Announced Need Based Scholarship Program for NTS Associated Universities/ Institutions Scholarship Coverage -Tuition Fee -Stipend(Rs.5000/- per month during the period of study) How to Apply Deserving students can obtain NTS Need- Based Scholarship Application Form from the Financial Aid Office(FAO) at the NTS Associated Universities / Institutions or can download it from the NTS Website. The Complete Scholarship Form along with supporting documents is to be submitted to the relevant office of the University/ Institution for further processing List of NTS Associated Universities/ Institutions is available on website NTS Announced Need Based Scholarship Program for NTS Associated Universities/ Institutions Overview Levels: Bachelor Fields: All Fields Offered By: Higher Education Commission HEC : (Click here to view all scholarships by this authority) Type Local Category Need Based Area All Pakistan Deadline N.A Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD,2025-10-04T14:24:57.219982+00:00
NTS Pakistan Announced Need Based Scholarship Program,https://www.eduvision.edu.pk/scholarships/nts-pakistan-announced-need-based-scholarship-program-scholar-114,,"Bachelor, Intermediate, Matric, PhD",Merit & Need Based,,,N.A Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD,,All Pakistan,,NTS Pakistan Announced Need Based Scholarship Program For NTS Associated Universities/Institutions National Testing Service(NTS) is the leading testing and assessment organization in Pakistan offering services to government/non-government agencies institutions of higher education. NTS is committed to ensuring a culture of merit and quality education at the college and university level in Pakistan Scholarship Coverage -Tuition Fee -Stipend(Rs.5000/-per month during the period of study) How to Apply Deserving students can obtain NTS Need-based Scholarship Application Form from the Financial and Office(FAO) at the NTS Associated Universities/Institutions can download it from NTS Website (www.nts.org.pk) . The complete Scholorship Form along with Supporting documents is to be submitted to the relevant office of the University/Institution for further processing List of NTS Associted Universities/Institutions is available on www.nts.org.pk NTS Pakistan Announced Need Based Scholarship Program Overview Levels: Bachelor Fields: All Fields Offered By: Higher Education Commission HEC : (Click here to view all scholarships by this authority) Type Local Category Need Based Area All Pakistan Deadline N.A Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD,2025-10-04T14:24:59.837763+00:00
NTU-University Scholars Programme in Singapore,https://www.eduvision.edu.pk/scholarships/ntu-university-scholars-programme-in-singapore-scholar-429,,"Bachelor, PhD",Merit & Need Based,,"Eligible Countries: Scholarships are open to all nationalities. Entrance Requirements:  Open to all nationalities. Successful awardees should read a full-time undergraduate degree programme in NTU and be on the NTU-University Scholars Programme (NTU-USP). Possess outstanding Singapore-Cambridge GCE ‘A’ level, Diploma awarded by a polytechnic in Singapore, NUS High School Diploma, IB Diploma or Year 12 equivalent qualifications. Excellent co-curricular records. Strong leadership qualities and potential.  English Language Requirements: If English is not your first language then you will need to show that your English language skills are at a high enough level to succeed in your studies.","N.A If English is not your first language then you will need to show that your English language skills are at a high enough level to succeed in your studies. Course Level: Scholarships are available for pursuing full-time undergraduate degree programme in NTU. Study Subject: Scholarships are awarded to study the subjects offered by the university. Scholarship Award: The NTU-USP Scholarship covers up to the normal programme duration on condition that the scholarship holder maintains a record of good academic performance and exemplary conduct. Full coverage of subsidised tuition fees (after Tuition Grant ). Living allowance of S$6,000 per academic year for all semesters except in the semester of the NTU-USP Study Abroad Programme. Book allowance of S$500 per academic year. Accommodation allowance of up to S$2,000 per academic year (applicable to scholarship holders who reside in NTU hostels only). Computer allowance of S$1,500 (one-off). Settling-in allowance of S$250 (one-off). Travel Grant of S$5,000 for an overseas study/attachment programme (once only) subject to terms and conditions in the Travel Grant Form. Overseas benefits in the semester of the NTU-USP Study Abroad Programme (structured exchange programme): Enrolment and tuition fees at partner university Return airfare and transportation to/from partner university (one off) Overseas accommodation and living allowance at partner university Visa and health insurance costs No bond is attached to the NTU-USP Scholarship apart from the three-year bond applicable to all Singapore PRs and international students under the MOE Tuition Grant Scheme. Eligibilty: Eligible Countries: Scholarships are open to all nationalities. Entrance Requirements: Open to all nationalities. Successful awardees should read a full-time undergraduate degree programme in NTU and be on the NTU-University Scholars Programme (NTU-USP). Possess outstanding Singapore-Cambridge GCE ‘A’ level, Diploma awarded by a polytechnic in Singapore, NUS High School Diploma, IB Diploma or Year 12 equivalent qualifications. Excellent co-curricular records. Strong leadership qualities and potential. English Language Requirements: If English is not your first language then you will need to show that your English language skills are at a high enough level to succeed in your studies. How to Apply: The same application period for admissions applies. Scholarships are awarded based on competition amongst shortlisted candidates. Applicants are required to submit their application for admission before submitting their application for the scholarship. Applicants with the following qualifications: Singapore-Cambridge GCE ‘A’ level Diploma awarded by a polytechnic in Singapore NUS High School Diploma IB Diploma The scholarship application form can be found at the link ‘Apply for Scholarship’ at the end of your online application for admission. You are required to login with the application number assigned to you. If you have reserved an undergraduate degree programme in NTU, you can login here to access the scholarship application form. Applicants are required to submit the following after completing your application form: Upload a recent passport-size photo (digital image). Submit a referee’s appraisal online. The appraisal is to be completed by your school teacher, who must not be your family or relative. After you have submitted your scholarship application, you will be provided with a URL to be forwarded to your school teacher. When you are passing the link to your teacher, please inform him/her of your NTU application number and Date of Birth, as he/she will need the information to submit the appraisal online.Your school teacher is to complete the online appraisal form and submit it within 7 days of your scholarship application.  If your teacher is not able to submit it online within 7 days and needs more time, please inform him/her to submit as soon as possible (preferably not more than 3 weeks from your date of scholarship application). Note that only one appraisal may be submitted online to support your application. Latest Scholarships Fulbright Scholar Program HEC US Pakistan Knowledge Corridor Fully funded PhD Scholarship HEC Cuban Government MBBS Scholarships SBW Berlin Scholarship for International Students SBW Berlin Scholarship for International Students MEXT Japan Teachers Training Scholarships Turkiye Burslari Scholarships BEEF Local and Foreign scholarships for LLM and PhD in Law",,All Pakistan,,Introduction: NTU-University Scholars Programme (NTU-USP) is open for the academic year 2018-2019. Scholarships are awarded to outstanding freshmen pursuing full-time undergraduate programmes in NTU. The Nanyang Technological University is an autonomous research university in Singapore.,2025-10-04T14:25:01.985921+00:00
Nuclear Engineering Fellowship / Scholarship by PNRA at PIEAS,https://www.eduvision.edu.pk/scholarships/nuclear-engineering-fellowship-scholarship-by-pnra-at-pieas-scholar-671,,"Intermediate, Masters/MPhil, Matric, PhD",Merit Based,,"BSc Engineering in Mechanical BE/BSc Engineering in Metallurgy All Pakistani Nationals are eligible with the required qualifications. Preferably a first-class academic career, however, one-second division (not less than 50% marks) is allowed, except in the final degree. In the case of the semester system, a CCPA 2.5 out of 4 or 60% marks in the annual system in the final degree is required. Degrees must be recognized by HEC/PEC. Candidates expecting completion of their degree requirements by the end of 2021 may also apply. The age limit for the fellowship program is 27 years as on June 25, 2021.","to submit an application for the PNR fellowship for the MS Nuclear Engineering program is June 25, 2021. After successful completion of MS from PIEAS, fellows will be placed as Assistant Engineers/Scientific Officers (SPS·8) in PNRA with three advance increments and will become eligible for promotion consideration to the next scale (SPS-9) after two years of service. Nuclear Engineering Fellowship / Scholarship by PNRA at PIEAS Overview Levels: Masters Fields: Engineering & IT Type Local Category Merit Based Area All Pakistan Deadline 25-06-2021 Written tests for the selection of candidates will be conducted by PIEAS in major cities of Pakistan. PNRA Fellowship/Scholarship for Nuclear Engineering Covers: Fellowships will be offered to candidates selected through tests and interviews only on merit. Fellowships include a stipend of Rs.35,000/- per month besides a full tuition fee waiver & indoor medical facility for self. The duration of the Fellowship is 2 years. Fellows will have to execute a bond to serve PNRA for five years after completion of MS from PIEAS. After successful completion of MS from PIEAS, fellows will be placed as Assistant Engineers (SPS-8) in PNRA with three advance increments and will become eligible for promotion consideration to next scale (SPS-9) after two years of service. Eligibility Criteria for MS Nuclear Engineering Fellowship BSc Engineering in Mechanical BE/BSc Engineering in Metallurgy All Pakistani Nationals are eligible with the required qualifications. Preferably a first-class academic career, however, one-second division (not less than 50% marks) is allowed, except in the final degree. In the case of the semester system, a CCPA 2.5 out of 4 or 60% marks in the annual system in the final degree is required. Degrees must be recognized by HEC/PEC. Candidates expecting completion of their degree requirements by the end of 2021 may also apply. The age limit for the fellowship program is 27 years as on June 25, 2021. How to Apply for PNRA Nuclear Engineering Fellowship/Scholarship at PIEAS? Application forms are available at the PNRA website Application processing fee of Rs.3,500/- must be deposited in PNRA online bank account No. 0854003147171378 (Title of Account: NISAS), National Bank of Pakistan, F-6 Super Market Branch, Islamabad. Candidates are required to forward the original bank receipt along with a passport size photograph to Sr. Establishment Officer-II, PNRA at the address given below. Name, CNIC & Online Generated Roll No. should be written on the backside of the bank receipt. Photocopy of the bank receipt is not acceptable. Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,All Pakistan,,"Pakistan Nuclear Regulatory Authority PNRA offers fellowship for the Nuclear Engineering program at PIEAS. A monthly 35,000/- rupees stipend will be offered to the selected candidates besides free tuition and other facilities. The last date to submit an application for the PNR fellowship for the MS Nuclear Engineering program is June 25, 2021.",2025-10-04T14:25:10.602523+00:00
NUML Faculty Development MS MPhil foreign scholarship,https://www.eduvision.edu.pk/scholarships/numl-faculty-development-ms-mphil-foreign-scholarship-scholar-673,,"Masters/MPhil, PhD",Merit Based,,"BS / Master degree (16 years of education) in relevant discipline from HEC recognized University with at least 2.5/4 CGPA or first division under annual system. Not less than 50% marks in the entire academic career under the annual system and not less than 2.0/ 4 and 2.8/5 CGPA under semester system. Valid GRE International / NTS or University devised GAT-General with score 50/100. Applicant must be Pakistani and AJ&K nationals. The candidate must have acquired requisite qualifications before the closing date of the application. Criteria can be relaxed for rare languages.  Candidates already availing HEC, University/DA I, Departments or any other Scholarships are not eligible. The maximum age is 35 years by the closing date and is relaxable to 40 years for regular employees of public sector universities/DAls/R&D organizations.  Employees of government, semi-government and autonomous bodies should send their application through proper channel.""  Final selection will be subject to fulfillment of mandatory requirements & approval of the scholarship management committee.  It is the responsibility of an applicant to acquire admission in a foreign university.  Admission form (duly filled in) available at University website(www.numl.edu.pk) along with requisite documents may be submitted to Academics Branch with bank draft of Rs.1,000/- in the name of Rector NUML.  The last date for receipt of application forms by post/hand is 24 July, 2020.","to submit an application for NUML foreign scholarship is July 24, 2020 . Admission form is available at NUML website and may be submitted with required documents to Academics Branch with the bank draft of Rs.1,000/- in the name of Rector NUML NUML Faculty Development MS MPhil foreign scholarship Overview Levels: Masters Fields: Social Sciences Offered By: University : (Click here to view all scholarships by this authority) Type International Category Merit Based Area All Pakistan Deadline N.A Award of scholarship is subject to the following:- The selected candidates will undergo their studies in foreign countries. The scholar will have to serve at NUMLfor a minimum of five years after completion of studies. Eligibility Criteria for NUML Faculty development Foreign scholarship 2020 BS / Master degree (16 years of education) in relevant discipline from HEC recognized University with at least 2.5/4 CGPA or first division under annual system. Not less than 50% marks in the entire academic career under the annual system and not less than 2.0/ 4 and 2.8/5 CGPA under semester system. Valid GRE International / NTS or University devised GAT-General with score 50/100. Applicant must be Pakistani and AJ&K nationals. The candidate must have acquired requisite qualifications before the closing date of the application. Criteria can be relaxed for rare languages. Candidates already availing HEC, University/DA I, Departments or any other Scholarships are not eligible. The maximum age is 35 years by the closing date and is relaxable to 40 years for regular employees of public sector universities/DAls/R&D organizations. Employees of government, semi-government and autonomous bodies should send their application through proper channel."" Final selection will be subject to fulfillment of mandatory requirements & approval of the scholarship management committee. It is the responsibility of an applicant to acquire admission in a foreign university. Admission form (duly filled in) available at University website(www.numl.edu.pk) along with requisite documents may be submitted to Academics Branch with bank draft of Rs.1,000/- in the name of Rector NUML. The last date for receipt of application forms by post/hand is 24 July, 2020. Latest Scholarships Fulbright Scholar Program HEC US Pakistan Knowledge Corridor Fully funded PhD Scholarship HEC Cuban Government MBBS Scholarships SBW Berlin Scholarship for International Students SBW Berlin Scholarship for International Students MEXT Japan Teachers Training Scholarships Turkiye Burslari Scholarships BEEF Local and Foreign scholarships for LLM and PhD in Law",,All Pakistan,,"National University of Modern Languages NUML announces MS MPhil scholarship for under faculty development foreign scholarship program. Studies of selected students will be fully funded in foreign countries. Scholarships are offered for MS/MPhil programs in Chinese, French and German.",2025-10-04T14:25:15.093646+00:00
NUR International University Launched Special Scholarship Program,https://www.eduvision.edu.pk/scholarships/nur-international-university-launched-special-scholarship-program-scholar-731,,"Bachelor, Intermediate, Masters/MPhil, Matric, PhD",Merit & Need Based,,,"17-03-2023 FACULTY OF APPLIED SCIENCES ·     Doctor of Physical Therapy (DPT) ·     BS Nutrition Sciences ·     BS Medical Lab Technology ·     BS Speech Language Pathology ·     BS Medical Imaging Technology ·     BS Respiratory Therapy ·     BS Emergency and ICU Sciences ·     BS Food Sciences and Technology ·     MS Food Nutrition and Dietetics ·     MS Food, Science & Technology FACULTY OF MANAGEMENT SCIENCES ·     Bachelor of Business Administration (BBA) ·      Master of Business Administration (MBA FACULTY OF HUMANITIES & SOCIAL SCIENCES ·     BS Applied Psychology ·     BS Economics ·     MS Clinical Psychology FACULTY OF BASIC SCIENCES ·     BS Biochemistry ·     BS Biotechnology ·     MPHIL Biochemistry ·     MPHIL Physiology 17 March 2023 is the deadline to apply for Spring 2023 Admissions. So don’t miss this opportunity and Apply Online Now by clicking the link given below: https://www.niu.edu.pk/online-admission-student-data Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,All Pakistan,,"This is to announce that Admissions are Open for Spring 2023 at the NUR International University, Lahore. NUR International University, a sister organization of Fatima Memorial Hospital (FMH) Lahore, is backed by 46 years of rich experience of the Fatima Memorial System in Education, Policy Research, and Health. NUR International University (NIU) is Offering up to 100% Scholarships (based on need/merit).",2025-10-04T14:25:17.357681+00:00
"NUS Science, Medicine and Engineering Postdoctoral Fellowship for International Students in Singapore",https://www.eduvision.edu.pk/scholarships/nus-science-medicine-and-engineering-postdoctoral-fellowship-for-international-students-in-singapore-scholar-367,,"Bachelor, PhD",Merit & Need Based,,"Eligible Countries: The scheme is open to nationals of all countries.  Entrance Requirements: To be eligible for this scholarship you must meet the following requirements:  New or recently graduated PhDs Research interests that fit the research areas as in the disciplines above Strong research training with at most 1 postdoctoral stint from a reputable University Strong motivation for an academic research career  English Language Requirements: Fluent in spoken & written English, with excellent communication","N.A The National University of Singapore (NUS) is an autonomous research university in Singapore. Founded in 1905 as a medical college, it is the oldest institute of higher learning (IHL) in Singapore, as well as the largest university in the country in terms of student enrollment and curriculum offered. NUS is a comprehensive research university with an entrepreneurial dimension. NUS offers a wide range of disciplines, including the sciences, medicine and dentistry, design and environment, law, arts and social sciences, engineering, and music in both undergraduate and postgraduate education. Course Level: Fellowship is available to pursue Postdoctoral programme. Study Subject: Please click the links to view research areas in the following disciplines : Computing Engineering Medicine Public Health Science Duke-NUS Medical School Scholarship Award: Research teams that succeed in having their candidates selected as LKY PDFs may apply for additional research funding of up to S$180,000 for consumables, equipment, conference travel and other operating expenditure needed for the research teams’ project. This additional funding is independent of the Faculty budget. Eligibility: Eligible Countries: The scheme is open to nationals of all countries. Entrance Requirements: To be eligible for this scholarship you must meet the following requirements: New or recently graduated PhDs Research interests that fit the research areas as in the disciplines above Strong research training with at most 1 postdoctoral stint from a reputable University Strong motivation for an academic research career English Language Requirements: Fluent in spoken & written English, with excellent communication How to Apply: Candidates are to send one hard copy and one soft copy of the following documents to the NUS Faculty/School you are applying to: Completed NUS Personal Particulars Form Candidate’s detailed Curriculum Vitae & Educational Certificates Please provide the detailed list of publications in a separate Annex. The list should include: Impact Factor of the journals Highlight the papers in which applicant was the leading author Candidate’s H-index (if available) 3 International / External Referee Reports Referee reports should include comments on scientific merit of candidate’s research, suitability and potential for the Fellowship Referee’s contact details should be included 2-page CV of each Referee should also be included Candidate’s research proposal as LKY PDF (no word limit, but entries should be succinct) Latest Scholarships Fulbright Scholar Program HEC US Pakistan Knowledge Corridor Fully funded PhD Scholarship HEC Cuban Government MBBS Scholarships SBW Berlin Scholarship for International Students SBW Berlin Scholarship for International Students MEXT Japan Teachers Training Scholarships Turkiye Burslari Scholarships BEEF Local and Foreign scholarships for LLM and PhD in Law",,All Pakistan,http://www.nus.edu.sg/dpr/files/LKYPDF/NUS_Personal_particulars_form_(2014).doc,"Introduction: The National University of Singapore (NUS) is currently accepting applications for Lee Kuan Yew Postdoctoral Fellowship to nationals of all countries. It aims to promote the development of young and outstanding academics in science, medicine, and engineering. NUS Science, Medicine and Engineering Postdoctoral Fellowship for International Students in Singapore Overview Levels: PhD Fields: Medical, Engineering & IT Type International Category Merit Based Area All Pakistan Deadline N.A The National University of Singapore (NUS) is an autonomous research university in Singapore.",2025-10-04T14:25:21.360868+00:00
NUST announces Need Based Scholarships 2025,https://www.eduvision.edu.pk/scholarships/nust-announces-need-based-scholarships-2025-scholar-747,,"Bachelor, Intermediate, Masters/MPhil, Matric, PhD",Merit & Need Based,,,"Always Open When can you apply for NUST Scholarships? NUST provides opportunities to apply for financial aid and scholarships throughout the year . Being an enrolled student, you can apply at any time during your degree program. If you are admitted to NUST, you can apply for a scholarship and financial assistance alongside your admission . Know that this scholarship will not affect your admission decision. Need-based Scholarships offered at NUST Campuses Punjab Educational Endowment Fund (PEEF) Scholarships 2025-26 Chief Minister's Honhaar Undergraduate Scholarship Program for Talented Students of Punjab - 2025 Provision Of Higher Education Opportunities for The Students of Balochistan & Erstwhile Fata (Phase-III) Financial Assistance for Undergraduate Students Need-Based Financial Aid Interest-Free Loan (IHSAN TRUST) Deferment Of Tuition Fee & Subsistence Allowance NUST Need-Based Financial Aid Mandatory requirement for all: For NUST scholarships, it is mandatory to apply for external scholarships as well e.g., Scottish, BEEF, PEEF, CMEEF, SEEF etc. The certificate of application/result is to be given along with the application to the NUST Scholarship. How to apply for NUST scholarships during the admission Process? Fill in the online NUST Need-Based Financial Aid Application Form (NFAAF) which includes the personal and financial information and information about Parents/guardian’s gross income, assets, number of people earning in the household and the total expense. The deadline to submit NFAAF is the same as that of the admission application form. If not submitted within the due date, you will not be considered for financial aid. Attach the soft copy of the supporting documents with NFAAF. Upon receiving an email from the Financial Aid Office (FAO), you have to submit the supporting documents in hard form at the following address: Room No 108A, First Floor, RIC Building, NUST, Sector H-12, Islamabad 5. In July / August, you will receive a provisional financial aid offer alongside the admission offer letter, if shortlisted for the aid. You may accept or decline. 6. To confirm and secure your admission seat and scholarship slot, you are required to submit admission dues. Once the slot is confirmed, you may transfer your scholarship to any other discipline by sending an email to admissions@nust.edu.pk How to apply for NUST scholarships during your program/degree? There are two facilities offered to the already enrolled students who want the NUST Scholarship: Depositing Fee in Installments: You may apply for this facility if you want to pay your fee in instalments. For this, fill out the Installments application form and email it to the account officer of your respective department. 2. NUST Need Based Scholarship: You may also apply for the need-based scholarship by submitting the Scholarship Application Form available at https://nust.edu.pk/admissions/scholarships/nnbs-and-hec-scholarship-forms/ in their respective institutions. Provision Of Higher Education Opportunities for The Students of Balochistan & Erstwhile Fata (Phase-III) To apply for this scholarship offered at NUST University, you must come up with the following eligibility criteria: Your age must be less than or equal to 22 years on the closing date of advertisement for the Scholarship Programme You must have your own or your father’s valid domicile or local certificate of Balochistan / erstwhile FATA duly signed by the district administration You must have completed 12 years of education with at least 60% marks in FA / F.Sc. / I.COM / ICS / DAE and equivalent for the scholarship programme, on or before the closing date of the advertisement (students awaiting results are not eligible to apply) You must not have any other HEC / Government Scholarship How to apply? You are required to submit your application online through the HEC website at ​ https://scholarships.hec.gov.pk ​Ensure that a duly attested copy of the CNIC, your and your father/guardian's domicile / local Certificate (duly attested by the district administration), and educational documents (duly attested by the respective boards) are uploaded. Note that the hard copy of applications and any other documents are not required at this stage. You have to deposit a Test fee of Rs. 500/- via 1Link 1Bill invoice participating Banks/ATM/Internet Banking/Mobile Banking. To submit the fee, select the 1Link 1bill Invoice payment service. Open/sign in to your mobile app and click on Bill payment or payment services (as your mobile banking app options). Click on the 1Bill Invoice payment service and enter the consumer number generated by the HEC portal. Once you see the details, pay the amount. (The test fee is non-refundable/non-transferable). After depositing the fee through 1Link 1Bill Invoice, click on “Verify Online Payment"" on the application form. You must submit the online application after completing the application form. Saved and Incomplete applications in any respect are not considered. You should ensure that the application has been submitted by clicking on “Submit Application / Verify Payment"" & receival of acknowledgement. The test for Phase III, Batch III will be conducted on November 3, 2024. Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,All Pakistan,https://nust.edu.pk/admissions/scholarships/nnbs-and-hec-scholarship-forms/,"National University of Science and Technology announces scholarships for all campuses of NUST in Pakistan. All the students who are enrolled in the current semester or are already enrolled can apply for financial aid and scholarships at NUST University. The scholarships and financial aid are funded by Nust itself and various other scholarship offering institutes including HEC, PEEF, IHSAN Trust, and others.",2025-10-04T14:25:23.520782+00:00
NUTECH offers HEC funded MS overseas Scholarship,https://www.eduvision.edu.pk/scholarships/nutech-offers-hec-funded-ms-overseas-scholarship-scholar-676,,"Bachelor, Intermediate, Masters/MPhil, Matric, PhD",Merit Based,,Be a Pakistani/AJK national and permanent resident of Pakistan / AJK Be available to start your Studies in the foreign University before the start of the academic year September / October 2020 Candidate must hold a bachelor degree (16 years) complete in all aspects Candidates already holding MS degree are also eligible to apply Should have first division throughout the academic career Must have minimum 75% marks or CGPA 3.00 out of 4.00 in the undergraduate degree obtained after 16 years of education Maximum age on closing date for MS Scholarship is 30 years Must have obtained requisite qualification on or before the closing date Those who are availing any other scholarship are not eligible to apply Only candidates available on a full-time basis will be eligible to apply,"to apply for NUTECH overseas Scholarship is August 23, 2020. Applicants will have to execute a bond to serve at NUTECH for three years after completion of an MS degree. NUTECH offers HEC funded MS overseas Scholarship Overview Levels: Masters Fields: Engineering & IT, Management Sciences Offered By: Higher Education Commission HEC : (Click here to view all scholarships by this authority) Type Local Category Merit Based Area All Pakistan Deadline N.A NUTECH MS Scholarship degree programs HEC funded scholarships are offered to the candidates for following disciplines: Civil Engineering Computer Engineering Computer Science Electrical Engineering Mechanical Engineering Artificial Intelligence Biomedical Engineering Railway Engineering Mathematics Biophysics Business (Entrepreneurship / Technology Management) Eligibility Criteria for NUTECH fully funded MS Scholarship Be a Pakistani/AJK national and permanent resident of Pakistan / AJK Be available to start your Studies in the foreign University before the start of the academic year September / October 2020 Candidate must hold a bachelor degree (16 years) complete in all aspects Candidates already holding MS degree are also eligible to apply Should have first division throughout the academic career Must have minimum 75% marks or CGPA 3.00 out of 4.00 in the undergraduate degree obtained after 16 years of education Maximum age on closing date for MS Scholarship is 30 years Must have obtained requisite qualification on or before the closing date Those who are availing any other scholarship are not eligible to apply Only candidates available on a full-time basis will be eligible to apply How to apply for HEC funded MS Scholarship by NUTECH Applicants are required to submit online application through NUTECH e-portal eportal.nutech.edu.pk Only online applications will be entertained. Original online deposit slip or ATM transfer slip of PKR: 1000/- as application processing fee in favor of treasurer NUTECH must be uploaded on e-portal. The last date to apply for the scholarship is August 23, 2020. Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,All Pakistan,,"National University of Technology NUTECH Islamabad offers HEC PSDP funded scholarships for MS degree program overseas. Candidates having required qualifications recognized by the Pakistan Engineering Council and/or Higher Education Commission of Pakistan may apply for pursuing an MS degree in world top-ranked universities. The last date to apply for NUTECH overseas Scholarship is August 23, 2020.",2025-10-04T14:25:25.675740+00:00
OGDCL Balochistan Scholarship,https://www.eduvision.edu.pk/scholarships/ogdcl-balochistan-scholarship-scholar-650,,"Intermediate, Matric, PhD",Merit & Need Based,,Domicile holder of Balochistan. Attaining three years Diploma of Associate Engineers (DAE) from government and private polytechnic colleges registered with technical board/TEVTA. Already not availing any other scholarship/financial assistance from any other government/private institution. Applying through respective institution/college on prescribed application form (available at OGDCL website www.oadcl.com),N.A Required documents should be received at Regional Office Quetta not later than 31-01-2020. Scholarship shall be admissible upon admission in 1st year on the basis of marks (Matric/FA/F.Sc). Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD,,Balochistan,,"Oil & Gas Development Company Limited (OGDCL) invites applications for grant of scholarships @ Rs.3,000/- per month to the students belonging to Southern Districts (Gawader, Turbat, Awaran, Pisni, Lassbella, Kharan) and Dera Bughti Balochistan for Diploma in Associate Engineering (DAE). Eligibility Criteria for OGDCL Balochistan Scholarship Domicile holder of Balochistan. Attaining three years Diploma of Associate Engineers (DAE) from government and private polytechnic colleges registered with technical board/TEVTA.",2025-10-04T14:25:29.888250+00:00
